"school_year","school_year_offset","sis_user_id","grade_level","course_id","course_name","course_track","section_id","assessment_window","sequence_index","attendance_category","attendance_probability","score","posterior_readiness_after","is_present_bool","next_sequence_index","next_assessment_window","next_score","next_present","next_readiness","support_risk_next","support_risk_next_45","current_absent","current_readiness_missing","current_readiness","current_readiness_z","sequence_z","readiness_below_45","readiness_45_to_60","readiness_above_60","semester_sin","semester_cos","annual_sin","annual_cos"
"2018-2019",0,"SYN-SIS-000001",9,"MATH-ALG2-H","Honors Algebra 2","honors","Y00-SEC-014","beginning_of_year",1,"normal",0.8841,0,NA,FALSE,2,"end_of_year",44.19,TRUE,44.9364,1,1,1,1,45.0969,-0.260547196421998,-1.57784939445842,0,0.096899999999998,0,1.22464679914735e-16,-1,1,6.12323399573677e-17
"2018-2019",0,"SYN-SIS-000001",9,"MATH-ALG2-H","Honors Algebra 2","honors","Y00-SEC-014","end_of_year",2,"normal",0.8841,44.19,44.9364,TRUE,3,"beginning_of_year",41.38,TRUE,42.1148,1,1,0,0,44.9364,-0.269526872026605,-1.31459713749539,0.063600000000001,0,0,-2.44929359829471e-16,1,1.22464679914735e-16,-1
"2019-2020",1,"SYN-SIS-000001",10,"MATH-AP-PRECALC","AP Precalculus","ap","Y01-SEC-014","beginning_of_year",3,"normal",0.8841,41.38,42.1148,TRUE,4,"end_of_year",55.29,TRUE,53.4942,0,0,0,0,42.1148,-0.427390128636948,-1.05134488053236,2.8852,0,0,3.67394039744206e-16,-1,-1,-1.83697019872103e-16
"2019-2020",1,"SYN-SIS-000001",10,"MATH-AP-PRECALC","AP Precalculus","ap","Y01-SEC-014","end_of_year",4,"normal",0.8841,55.29,53.4942,TRUE,5,"beginning_of_year",0,FALSE,NA,1,1,0,0,53.4942,0.209266074322982,-0.788092623569334,0,8.4942,0,-4.89858719658941e-16,1,-2.44929359829471e-16,1
"2020-2021",2,"SYN-SIS-000001",11,"MATH-AP-CALC-AB","AP Calculus AB","ap","Y02-SEC-021","beginning_of_year",5,"normal",0.8841,0,NA,FALSE,6,"end_of_year",55.14,TRUE,54.9101,0,0,1,1,60.6194,0.60790772303294,-0.524840366606305,0,15,0.619399999999999,6.12323399573677e-16,-1,1,3.06161699786838e-16
"2020-2021",2,"SYN-SIS-000001",11,"MATH-AP-CALC-AB","AP Calculus AB","ap","Y02-SEC-021","end_of_year",6,"normal",0.8841,55.14,54.9101,TRUE,7,"beginning_of_year",52.22,TRUE,52.6718,0,0,0,0,54.9101,0.288483038114655,-0.261588109643275,0,9.9101,0,-7.34788079488412e-16,1,3.67394039744206e-16,-1
"2021-2022",3,"SYN-SIS-000001",12,"MATH-AP-CALC-BC","AP Calculus BC","ap","Y03-SEC-023","beginning_of_year",7,"normal",0.8841,52.22,52.6718,TRUE,8,"end_of_year",60.69,TRUE,59.5322,0,0,0,0,52.6718,0.163254328421243,0.00166414731975435,0,7.6718,0,8.57252759403147e-16,-1,-1,-4.28626379701574e-16
"2018-2019",0,"SYN-SIS-000002",10,"MATH-ALG2","Algebra 2","regular","Y00-SEC-011","beginning_of_year",1,"high",0.9774,53.15,52.1639,TRUE,2,"end_of_year",57.71,TRUE,56.7244,0,0,0,0,52.1639,0.134838270853766,-1.57784939445842,0,7.1639,0,1.22464679914735e-16,-1,1,6.12323399573677e-17
"2018-2019",0,"SYN-SIS-000002",10,"MATH-ALG2","Algebra 2","regular","Y00-SEC-011","end_of_year",2,"high",0.9774,57.71,56.7244,TRUE,3,"beginning_of_year",56.8,TRUE,56.599,0,0,0,0,56.7244,0.389989738734214,-1.31459713749539,0,11.7244,0,-2.44929359829471e-16,1,1.22464679914735e-16,-1
"2019-2020",1,"SYN-SIS-000002",11,"MATH-PRECALC","Precalculus","regular","Y01-SEC-018","beginning_of_year",3,"high",0.9774,56.8,56.599,TRUE,4,"end_of_year",62.83,TRUE,61.6767,0,0,0,0,56.599,0.382973842654352,-1.05134488053236,0,11.599,0,3.67394039744206e-16,-1,-1,-1.83697019872103e-16
"2019-2020",1,"SYN-SIS-000002",11,"MATH-PRECALC","Precalculus","regular","Y01-SEC-018","end_of_year",4,"high",0.9774,62.83,61.6767,TRUE,5,"beginning_of_year",56.41,TRUE,57.1041,0,0,0,0,61.6767,0.667061685754132,-0.788092623569334,0,15,1.6767,-4.89858719658941e-16,1,-2.44929359829471e-16,1
"2020-2021",2,"SYN-SIS-000002",12,"MATH-AP-CALC-AB","AP Calculus AB","ap","Y02-SEC-019","beginning_of_year",5,"high",0.9774,56.41,57.1041,TRUE,6,"end_of_year",60.29,TRUE,59.7789,0,0,0,0,57.1041,0.411233245444927,-0.524840366606305,0,12.1041,0,6.12323399573677e-16,-1,1,3.06161699786838e-16
"2018-2019",0,"SYN-SIS-000003",11,"MATH-ALG2","Algebra 2","regular","Y00-SEC-011","beginning_of_year",1,"high",0.9866,21.44,25.653,TRUE,2,"end_of_year",26.9,TRUE,27.2404,1,1,0,0,25.653,-1.34839713092932,-1.57784939445842,19.347,0,0,1.22464679914735e-16,-1,1,6.12323399573677e-17
"2018-2019",0,"SYN-SIS-000003",11,"MATH-ALG2","Algebra 2","regular","Y00-SEC-011","end_of_year",2,"high",0.9866,26.9,27.2404,TRUE,3,"beginning_of_year",23.66,TRUE,24.7543,1,1,0,0,27.2404,-1.25958506205235,-1.31459713749539,17.7596,0,0,-2.44929359829471e-16,1,1.22464679914735e-16,-1
"2019-2020",1,"SYN-SIS-000003",12,"MATH-PRECALC","Precalculus","regular","Y01-SEC-019","beginning_of_year",3,"high",0.9866,23.66,24.7543,TRUE,4,"end_of_year",33.33,TRUE,32.5959,1,1,0,0,24.7543,-1.39867771950166,-1.05134488053236,20.2457,0,0,3.67394039744206e-16,-1,-1,-1.83697019872103e-16
"2018-2019",0,"SYN-SIS-000004",11,"MATH-ALG2","Algebra 2","regular","Y00-SEC-010","beginning_of_year",1,"high",0.9667,47.52,47.6861,TRUE,2,"end_of_year",52.69,TRUE,51.9346,0,0,0,0,47.6861,-0.115686286294587,-1.57784939445842,0,2.6861,0,1.22464679914735e-16,-1,1,6.12323399573677e-17
"2018-2019",0,"SYN-SIS-000004",11,"MATH-ALG2","Algebra 2","regular","Y00-SEC-010","end_of_year",2,"high",0.9667,52.69,51.9346,TRUE,3,"beginning_of_year",43.96,TRUE,45.1614,1,1,0,0,51.9346,0.122009363588119,-1.31459713749539,0,6.9346,0,-2.44929359829471e-16,1,1.22464679914735e-16,-1
"2019-2020",1,"SYN-SIS-000004",12,"MATH-PRECALC","Precalculus","regular","Y01-SEC-019","beginning_of_year",3,"high",0.9667,43.96,45.1614,TRUE,4,"end_of_year",53.12,TRUE,52.0066,0,0,0,0,45.1614,-0.256938541739772,-1.05134488053236,0,0.1614,0,3.67394039744206e-16,-1,-1,-1.83697019872103e-16
"2018-2019",0,"SYN-SIS-000005",12,"MATH-AP-CALC-AB","AP Calculus AB","ap","Y00-SEC-024","beginning_of_year",1,"high",0.9907,35.69,38.9014,TRUE,2,"end_of_year",53.51,TRUE,51.6501,0,0,0,0,38.9014,-0.607173864386763,-1.57784939445842,6.0986,0,0,1.22464679914735e-16,-1,1,6.12323399573677e-17
"2018-2019",0,"SYN-SIS-000006",11,"MATH-AP-CALC-AB","AP Calculus AB","ap","Y00-SEC-022","beginning_of_year",1,"normal",0.9444,48.63,49.5549,TRUE,2,"end_of_year",58.36,TRUE,57.1109,0,0,0,0,49.5549,-0.0111304123388851,-1.57784939445842,0,4.5549,0,1.22464679914735e-16,-1,1,6.12323399573677e-17
"2018-2019",0,"SYN-SIS-000006",11,"MATH-AP-CALC-AB","AP Calculus AB","ap","Y00-SEC-022","end_of_year",2,"normal",0.9444,58.36,57.1109,TRUE,3,"beginning_of_year",56.63,TRUE,56.6877,0,0,0,0,57.1109,0.411613692760262,-1.31459713749539,0,12.1109,0,-2.44929359829471e-16,1,1.22464679914735e-16,-1
"2019-2020",1,"SYN-SIS-000006",12,"MATH-AP-CALC-BC","AP Calculus BC","ap","Y01-SEC-023","beginning_of_year",3,"normal",0.9444,56.63,56.6877,TRUE,4,"end_of_year",57.36,TRUE,57.2487,0,0,0,0,56.6877,0.387936442194095,-1.05134488053236,0,11.6877,0,3.67394039744206e-16,-1,-1,-1.83697019872103e-16
"2018-2019",0,"SYN-SIS-000007",12,"MATH-AP-CALC-AB","AP Calculus AB","ap","Y00-SEC-022","beginning_of_year",1,"normal",0.9139,56.18,56.212,TRUE,2,"end_of_year",66.4,TRUE,64.8231,0,0,0,0,56.212,0.361321914561,-1.57784939445842,0,11.212,0,1.22464679914735e-16,-1,1,6.12323399573677e-17
