"account_id","segment","region","implementation_complexity","contract_value","tenure_months","product_usage_rate","active_seats_ratio","training_completion_rate","support_tickets_90d","avg_response_hours","prior_incident","escalation_flag"
"ACCT-0001","Mid-Market","North","Medium",39105,18,0.665,0.6741,0.7139,1,5.62,0,0
"ACCT-0002","SMB","North","Low",14139,48,0.4166,0.2721,NA,2,5.83,0,0
"ACCT-0003","SMB","East","Medium",23538,79,0.7604,0.6831,0.8249,2,9.63,0,0
"ACCT-0004","SMB","South","High",6573,14,0.2017,0.3698,NA,9,37.84,1,0
"ACCT-0005","Mid-Market","North","Medium",23073,15,0.5924,0.4588,NA,4,9.42,0,0
"ACCT-0006","Enterprise","North","Low",81276,62,0.3319,0.1332,0.4348,3,20.03,1,1
"ACCT-0007","Enterprise","West","Medium",53388,20,0.99,0.9217,0.9448,2,7.5,0,0
"ACCT-0008","Mid-Market","South","Low",22591,39,0.7047,0.7669,0.5155,1,18.87,0,0
"ACCT-0009","SMB","East","Medium",15947,16,0.6387,0.6932,0.7349,1,11.69,0,0
"ACCT-0010","Mid-Market","North","Low",34952,49,0.5731,0.8355,0.4471,6,7.37,1,0
"ACCT-0011","Enterprise","North","Low",39751,30,0.8875,0.6853,0.7322,1,3.9,1,0
"ACCT-0012","Strategic","West","Low",185107,23,0.977,0.8611,0.5024,0,5.92,0,0
"ACCT-0013","Enterprise","West","Medium",49446,52,0.7551,0.7529,0.6809,2,24.35,0,0
"ACCT-0014","Mid-Market","East","Medium",40280,22,0.6287,0.5028,0.6449,3,23.9,0,0
"ACCT-0015","Mid-Market","West","Medium",43562,5,0.5448,0.7383,NA,0,13.27,0,0
"ACCT-0016","Enterprise","South","Low",31984,25,0.99,0.8763,0.72,1,17.39,1,0
"ACCT-0017","SMB","North","Medium",25504,22,0.4569,0.3762,0.5574,2,17.16,0,1
"ACCT-0018","SMB","North","Medium",13671,48,0.5929,0.5829,0.6352,5,20.44,0,0
"ACCT-0019","Strategic","East","Medium",116190,20,0.7374,0.6737,0.6081,1,10.8,0,0
"ACCT-0020","Strategic","South","Medium",228646,34,0.3328,0.4887,0.2053,2,16.71,0,0
"ACCT-0021","Enterprise","North","Low",95298,2,0.5506,0.4649,0.3244,0,21.63,0,0
"ACCT-0022","Mid-Market","North","Low",18101,50,0.8796,0.75,0.6981,3,15.1,0,0
"ACCT-0023","Mid-Market","South","Low",102254,46,0.6902,0.6414,0.7819,1,12.94,0,0
"ACCT-0024","SMB","South","Low",24512,40,0.3008,0.4725,0.2332,0,7.52,1,0
"ACCT-0025","SMB","North","Low",17844,26,0.8115,0.7573,NA,1,7.89,0,0
"ACCT-0026","Enterprise","East","Low",66479,47,0.6931,0.7655,0.4869,2,6.58,0,0
"ACCT-0027","Mid-Market","West","Low",39970,15,0.774,0.5896,0.5887,3,11.27,1,0
"ACCT-0028","SMB","East","Low",11920,43,0.7286,0.6906,0.7353,3,27.33,1,0
"ACCT-0029","Enterprise","North","Low",78760,14,0.908,0.8924,0.389,2,11.1,0,0
"ACCT-0030","SMB","East","Medium",5132,29,0.6061,0.7915,0.5123,2,7.37,0,0
