"Feature","Positive_Importance","Top_Quartile_Importance","Rank"
"course_track",0.875,0.875,1
"student_prior_year_count",1,1,2
"grade_level",1,1,3
"section_pct_high_absence",1,1,4
"student_prior_attendance_mean",0.625,0.625,5
"boy_readiness",0,1,6
"boy_score",0,1,7
"school_year_offset",0,1,8
"section_attendance_mean",0,1,9
"section_boy_mean",0,1,10
"section_prior_gain_mean",0,1,11
"section_readiness_mean",0,1,12
"section_student_prior_gain_sd",0,1,13
"section_student_prior_mean_gain",0,1,14
"student_prior_gain_sd",0,1,15
"student_prior_gain_trend",0,1,16
"student_prior_mean_eoy",0,1,17
"student_prior_mean_gain",0,1,18
"attendance_probability",0.375,0.375,19
"section_size",0.25,0.25,20
"section_boy_sd",0.25,0.25,21
"section_pct_at_risk",0,0,22
"attendance_category",0,0,23
