"Metric","Value"
"Selected model","Full operating model"
"Selection rule","Simplest model within one standard error of best repeated-CV log loss"
"Training rows","1120"
"Holdout rows","280"
"Training event rate","17.1%"
"Holdout event rate","17.1%"
"Repeated CV folds","5"
"Repeated CV repeats","6"
"CV log loss","0.366"
"CV AUC","0.797"
"Holdout log loss","0.422"
"Holdout Brier score","0.129"
"Holdout AUC","0.719"
"Calibration intercept","0.035"
"Calibration slope","0.655"
"Training log loss","0.349"
"Training AUC","0.820"
