"Metric","Value"
"Selected model","Growth ensemble balanced"
"Selected target strategy","Direct growth"
"Selected method","Ensemble"
"Selected family","Validation ensemble"
"Selected tuned parameters","Growth gradient boosting 1 weight=1; Growth GAM k4 weight=1; Growth polynomial degree 3 weight=1"
"Selection rule","Lowest repeated-CV RMSE among direct-growth candidates within 0.01 points of the best temporal-CV RMSE"
"Training paired records","1,485"
"Latest-year action paired records","252"
"Training years","2025-2026, 2026-2027, 2027-2028, 2028-2029, 2029-2030, 2030-2031"
"Action year","2031-2032"
"Candidate models tested","19"
"Operational candidates tested","16"
"Excluded leakage benchmarks","3"
"Repeated CV folds","5"
"Repeated CV repeats","2"
"CV expected-gain RMSE","4.640"
"CV expected-gain MAE","3.705"
"CV expected-gain R-squared","0.171"
"CV expected-gain RMSE SD","0.010"
"CV EOY R-squared","0.940"
"Temporal expected-gain RMSE","4.631"
"Temporal expected-gain MAE","3.711"
"Temporal expected-gain R-squared","0.172"
"Temporal expected-gain RMSE SD","0.229"
"Temporal EOY R-squared","0.938"
"Latest-year expected-gain RMSE","4.660"
"Latest-year expected-gain MAE","3.725"
"Latest-year expected-gain R-squared","0.110"
"Latest-year EOY RMSE","4.660"
"Latest-year EOY R-squared","0.933"
"Mean BOY score","48.5"
"Mean EOY score","54.2"
"Mean raw BOY/EOY gain","5.72"
"Latest-year section groups","24"
