"Model","Selected","Role","Target","Method","Family","Complexity","TunedParameters","SelectionEligible","LeakageStatus","Parameters","CV_RMSE","CV_RMSE_SD","CV_MAE","CV_R2","CV_EOY_RMSE","CV_EOY_R2","Temporal_RMSE","Temporal_RMSE_SD","Temporal_MAE","Temporal_R2","Temporal_EOY_RMSE","Temporal_EOY_R2","Temporal_Folds","Stable_Temporal_Folds","Temporal_Failure_Count","Temporal_Usable","Temporal_Status","Action_RMSE","Action_MAE","Action_R2","Action_EOY_RMSE","Action_EOY_R2","Train_RMSE","Train_MAE","Train_R2","Adj_R2","AIC","BIC","Delta_Temporal_RMSE"
"Growth stacked ensemble",FALSE,"Operational candidate","Direct growth","Stacked ensemble","Stacked validation ensemble","Out-of-fold learned blend of nonlinear, regularized, and parametric models","members=Growth gradient boosting 1 + Growth ranger forest 1 + Growth MARS 2 + Growth GAM k4 + Growth elastic net + Growth feature discovery model; internal folds=3",FALSE,"Benchmark only: stacked model is reported but excluded from operations to keep process validation reproducible",371,4.5995990728608,0.0402430750080053,3.66450739191731,0.185746353543433,4.5995990728608,0.941244182718407,4.54815949249087,0.192427057511221,3.61740219320063,0.169131187661111,4.54815949249087,0.932352582187395,3,3,0,TRUE,"Stable temporal validation",4.59443715056329,3.67566675206811,0.134839044231002,4.59443715056329,0.934683018786386,4.36721120843663,3.48945291269478,0.265973859928884,NA,NA,NA,-0.0279560720341276
"Growth ensemble discovery weighted",TRUE,"Operational candidate","Direct growth","Ensemble","Validation ensemble","Validation blend across boosting, forests, MARS, GAM, elastic-net, and engineered features","Growth gradient boosting 1 weight=2; Growth ranger forest 1 weight=2; Growth MARS 2 weight=1; Growth GAM k4 weight=1; Growth elastic net weight=1; Growth feature discovery model weight=1",TRUE,"Public-safe",371,4.60231295620036,0.0207396122765486,3.66563429965738,0.184808132248216,4.60231295620036,0.941176481506099,4.576115564525,0.240736184352343,3.64927006685836,0.15996756428292,4.576115564525,0.931462835772527,3,3,0,TRUE,"Stable temporal validation",4.64579076988221,3.71421777543975,0.115390548188542,4.64579076988221,0.933214717377073,3.89496802924505,3.10011515532278,0.416137034337201,NA,NA,NA,0
"Growth gradient boosting 1",FALSE,"Operational candidate","Direct growth","Gradient boosting","Non-parametric boosting","GBM grid 1","trees=150; depth=2; shrinkage=0.04; minobs=10",TRUE,"Public-safe",150,4.66836038497991,0.0174831657619498,3.72366975744809,0.161245370935006,4.66836038497991,0.939476213654191,4.60307806548646,0.285430688342674,3.67786377009313,0.150778255583577,4.60307806548646,0.930563231357508,3,3,0,TRUE,"Stable temporal validation",4.7270323695249,3.81428205961032,0.0841814535620224,4.7270323695249,0.930858527082282,4.42566018201156,3.53112731891,0.246194567823275,NA,NA,NA,0.0269625009614591
"Growth ensemble nonlinear weighted",FALSE,"Operational candidate","Direct growth","Ensemble","Validation ensemble","GBM-weighted nonlinear/history blend","Growth gradient boosting 1 weight=2; Growth GAM k4 weight=1; Growth elastic net weight=1; Growth history-composition model weight=1",TRUE,"Public-safe",225,4.64589800710488,0.010249956000147,3.70415344762625,0.169301293720454,4.64589800710488,0.940057521861132,4.60359476911754,0.296432607178516,3.68730066756017,0.150814018825043,4.60359476911754,0.93053746428902,3,3,0,TRUE,"Stable temporal validation",4.66134600421111,3.73841901406749,0.109456857061056,4.66134600421111,0.93276674201559,4.49977708586253,3.59600787637271,0.220735065776062,NA,NA,NA,0.0274792045925434
"Growth gradient boosting 2",FALSE,"Operational candidate","Direct growth","Gradient boosting","Non-parametric boosting","GBM grid 2","trees=250; depth=3; shrinkage=0.025; minobs=8",TRUE,"Public-safe",250,4.65829695201043,0.0188008752136981,3.71102833689864,0.164856680212935,4.65829695201043,0.939736802512472,4.60846975111415,0.254723427135746,3.68683157815981,0.148241255275821,4.60846975111415,0.930459350250723,3,3,0,TRUE,"Stable temporal validation",4.69482552268794,3.77984384718176,0.0966184937966984,4.69482552268794,0.931797485224053,4.277453365131,3.40800142243948,0.295836189893023,NA,NA,NA,0.0323541865891501
"Growth elastic net",FALSE,"Operational candidate","Direct growth","Elastic net","Regularized regression","elastic net","alpha=0.50",TRUE,"Public-safe",NA,4.67988750554178,0.0164719936623292,3.72417933563656,0.157098839176336,4.67988750554178,0.939177003618811,4.60866214473655,0.276100586439089,3.68536661747857,0.148454022559922,4.60866214473655,0.930394896226312,3,3,0,TRUE,"Stable temporal validation",4.69864848407726,3.74007069684833,0.0951466611508643,4.69864848407726,0.931686366403172,4.56651254618934,3.63522452527328,0.197449361171301,NA,NA,NA,0.0325465802115508
"Growth lasso",FALSE,"Operational candidate","Direct growth","Elastic net","Regularized regression","lasso","alpha=1.00",TRUE,"Public-safe",NA,4.67639560051767,0.0163042358663388,3.72238004604103,0.158356331826428,4.67639560051767,0.93926774316748,4.6095123500338,0.279436783213668,3.6874028899287,0.148237512778279,4.6095123500338,0.930369979232968,3,3,0,TRUE,"Stable temporal validation",4.69323833853993,3.73892254895879,0.0972292046445081,4.69323833853993,0.93184359200766,4.57263291240771,3.64169371069047,0.195296648171682,NA,NA,NA,0.0333967855088
"Growth ensemble balanced",FALSE,"Operational candidate","Direct growth","Ensemble","Validation ensemble","Equal-weight GBM/GAM/elastic-net/history blend","Growth gradient boosting 1 weight=1; Growth GAM k4 weight=1; Growth elastic net weight=1; Growth history-composition model weight=1",TRUE,"Public-safe",225,4.64794707911206,0.00881091339236845,3.7047763009167,0.168568902876329,4.64794707911206,0.940004673190692,4.61373658200195,0.294846575684879,3.69649216333252,0.147048834133863,4.61373658200195,0.930240479193434,3,3,0,TRUE,"Stable temporal validation",4.6473902291133,3.71868387612838,0.114781334220456,4.6473902291133,0.933168723603263,4.52478016388841,3.61543206339329,0.212051011784633,NA,NA,NA,0.0376210174769529
"EOY interaction benchmark",FALSE,"EOY-derived benchmark","EOY-derived gain","Linear model","EOY-derived benchmark","Interaction benchmark","predicts EOY then subtracts BOY",FALSE,"Public-safe",19,4.65159116845096,0.00989639659404238,3.71406974637597,0.16726428407256,4.65159116845096,0.939910533060783,4.61591109091402,0.261838483941976,3.69832095875094,0.145394835201974,4.61591109091402,0.9301872246168,3,3,0,TRUE,"Stable temporal validation",4.61609035230236,3.67087705126705,0.126664963783411,4.61609035230236,0.934065900947822,4.57996536116429,3.6563388506064,0.192713813714201,0.940951141717965,8777.67100566567,8894.34074679288,0.0397955263890193
"Growth MARS 2",FALSE,"Operational candidate","Direct growth","MARS","Adaptive spline MARS","MARS grid 2","degree=2; nprune=28",TRUE,"Public-safe",28,4.67740901484227,0.122507127487222,3.69759308133494,0.157707828194091,4.67740901484227,0.939220947723464,4.62625749111585,0.0572723123998233,3.63257836560504,0.13677127588011,4.62625749111585,0.930272595721947,3,3,0,TRUE,"Stable temporal validation",4.61822531383612,3.71399635432881,0.125856934588067,4.61822531383612,0.934004897238142,4.40516318307341,3.52012409272175,0.253160746524522,NA,NA,NA,0.0501419265908565
