"Model","Selected","Role","Target","Method","Family","Complexity","Tuned","Eligible","Params","CV_RMSE","CV_SD","CV_MAE","CV_R2","CV_EOY_R2","Temporal_RMSE","Temporal_SD","Temporal_R2","Temporal_EOY_R2","Temporal_Folds","Temporal_Failures","Temporal_Status","Action_RMSE","Action_MAE","Action_R2","Action_EOY_R2","Train_R2","Adj_R2","AIC","BIC","Delta"
"Growth stacked ensemble","","Operational candidate","Direct growth","Stacked ensemble","Stacked validation ensemble","Out-of-fold learned blend of nonlinear, regularized, and parametric models","members=Growth gradient boosting 1 + Growth ranger forest 1 + Growth MARS 2 + Growth GAM k4 + Growth elastic net + Growth feature discovery model; internal folds=3","No",371,"4.600","0.040","3.665","0.186","0.941","4.548","0.192","0.169","0.932",3,0,"Stable temporal validation","4.594","3.676","0.135","0.935","0.266","","","","-0.028"
"Growth ensemble discovery weighted","Yes","Operational candidate","Direct growth","Ensemble","Validation ensemble","Validation blend across boosting, forests, MARS, GAM, elastic-net, and engineered features","Growth gradient boosting 1 weight=2; Growth ranger forest 1 weight=2; Growth MARS 2 weight=1; Growth GAM k4 weight=1; Growth elastic net weight=1; Growth feature discovery model weight=1","Yes",371,"4.602","0.021","3.666","0.185","0.941","4.576","0.241","0.160","0.931",3,0,"Stable temporal validation","4.646","3.714","0.115","0.933","0.416","","","","0.000"
"Growth gradient boosting 1","","Operational candidate","Direct growth","Gradient boosting","Non-parametric boosting","GBM grid 1","trees=150; depth=2; shrinkage=0.04; minobs=10","Yes",150,"4.668","0.017","3.724","0.161","0.939","4.603","0.285","0.151","0.931",3,0,"Stable temporal validation","4.727","3.814","0.084","0.931","0.246","","","","0.027"
"Growth ensemble nonlinear weighted","","Operational candidate","Direct growth","Ensemble","Validation ensemble","GBM-weighted nonlinear/history blend","Growth gradient boosting 1 weight=2; Growth GAM k4 weight=1; Growth elastic net weight=1; Growth history-composition model weight=1","Yes",225,"4.646","0.010","3.704","0.169","0.940","4.604","0.296","0.151","0.931",3,0,"Stable temporal validation","4.661","3.738","0.109","0.933","0.221","","","","0.027"
"Growth gradient boosting 2","","Operational candidate","Direct growth","Gradient boosting","Non-parametric boosting","GBM grid 2","trees=250; depth=3; shrinkage=0.025; minobs=8","Yes",250,"4.658","0.019","3.711","0.165","0.940","4.608","0.255","0.148","0.930",3,0,"Stable temporal validation","4.695","3.780","0.097","0.932","0.296","","","","0.032"
"Growth elastic net","","Operational candidate","Direct growth","Elastic net","Regularized regression","elastic net","alpha=0.50","Yes",NA,"4.680","0.016","3.724","0.157","0.939","4.609","0.276","0.148","0.930",3,0,"Stable temporal validation","4.699","3.740","0.095","0.932","0.197","","","","0.033"
"Growth lasso","","Operational candidate","Direct growth","Elastic net","Regularized regression","lasso","alpha=1.00","Yes",NA,"4.676","0.016","3.722","0.158","0.939","4.610","0.279","0.148","0.930",3,0,"Stable temporal validation","4.693","3.739","0.097","0.932","0.195","","","","0.033"
"Growth ensemble balanced","","Operational candidate","Direct growth","Ensemble","Validation ensemble","Equal-weight GBM/GAM/elastic-net/history blend","Growth gradient boosting 1 weight=1; Growth GAM k4 weight=1; Growth elastic net weight=1; Growth history-composition model weight=1","Yes",225,"4.648","0.009","3.705","0.169","0.940","4.614","0.295","0.147","0.930",3,0,"Stable temporal validation","4.647","3.719","0.115","0.933","0.212","","","","0.038"
"EOY interaction benchmark","","EOY-derived benchmark","EOY-derived gain","Linear model","EOY-derived benchmark","Interaction benchmark","predicts EOY then subtracts BOY","No",19,"4.652","0.010","3.714","0.167","0.940","4.616","0.262","0.145","0.930",3,0,"Stable temporal validation","4.616","3.671","0.127","0.934","0.193","0.941","8777.7","8894.3","0.040"
"Growth MARS 2","","Operational candidate","Direct growth","MARS","Adaptive spline MARS","MARS grid 2","degree=2; nprune=28","Yes",28,"4.677","0.123","3.698","0.158","0.939","4.626","0.057","0.137","0.930",3,0,"Stable temporal validation","4.618","3.714","0.126","0.934","0.253","","","","0.050"
"Growth polynomial degree 3","","Operational candidate","Direct growth","Linear model","Parametric polynomial","Degree 3","degree=3","Yes",17,"4.642","0.003","3.712","0.171","0.940","4.631","0.322","0.141","0.930",3,0,"Stable temporal validation","4.591","3.658","0.136","0.935","0.196","0.186","8768.5","8874.5","0.055"
"Growth GAM k4","","Operational candidate","Direct growth","GAM","Semi-parametric GAM","Smooth k=4","k=4; adds history/composition smooths","Yes",36,"4.684","0.004","3.744","0.156","0.939","4.632","0.266","0.140","0.930",3,0,"Stable temporal validation","4.617","3.669","0.126","0.934","0.188","","8785.3","8898.4","0.056"
"EOY readiness benchmark","","EOY-derived benchmark","EOY-derived gain","Linear model","EOY-derived benchmark","Readiness adjusted","predicts EOY then subtracts BOY","No",13,"4.650","0.001","3.722","0.168","0.940","4.633","0.275","0.139","0.930",3,0,"Stable temporal validation","4.626","3.684","0.123","0.934","0.187","0.941","8775.7","8860.6","0.057"
"Growth readiness model","","Operational candidate","Direct growth","Linear model","Parametric linear","Readiness adjusted","adds BOY readiness","Yes",13,"4.650","0.001","3.722","0.168","0.940","4.633","0.275","0.139","0.930",3,0,"Stable temporal validation","4.626","3.684","0.123","0.934","0.187","0.179","8775.7","8860.6","0.057"
"Growth ridge","","Operational candidate","Direct growth","Elastic net","Regularized regression","ridge","alpha=0.00","Yes",NA,"4.698","0.007","3.733","0.150","0.939","4.637","0.249","0.137","0.930",3,0,"Stable temporal validation","4.746","3.755","0.077","0.930","0.205","","","","0.061"
"Growth polynomial degree 2","","Operational candidate","Direct growth","Linear model","Parametric polynomial","Degree 2","degree=2","Yes",15,"4.648","0.001","3.715","0.169","0.940","4.638","0.322","0.138","0.929",3,0,"Stable temporal validation","4.627","3.678","0.122","0.934","0.191","0.182","8773.6","8869.1","0.062"
"Growth interaction model","","Operational candidate","Direct growth","Linear model","Parametric interactions","Targeted interactions","track/readiness/attendance interactions","Yes",22,"4.656","0.011","3.718","0.166","0.940","4.643","0.252","0.135","0.929",3,0,"Stable temporal validation","4.614","3.668","0.127","0.934","0.194","0.181","8782.2","8914.8","0.066"
"Growth ranger forest 1","","Operational candidate","Direct growth","Ranger forest","Non-parametric ranger forest","Ranger grid 1","trees=100; mtry=6; min_node_size=8","Yes",100,"4.696","0.020","3.730","0.151","0.939","4.647","0.231","0.133","0.929",3,0,"Stable temporal validation","4.685","3.732","0.100","0.932","0.791","","","","0.071"
"Teacher/course leakage benchmark","","Excluded leakage benchmark","Direct growth","Linear model","Leakage benchmark","Teacher/course IDs","includes persistent IDs","No",26,"4.678","0.003","3.747","0.158","0.939","4.655","0.257","0.131","0.929",3,0,"Stable temporal validation","4.658","3.708","0.111","0.933","0.190","0.177","8789.5","8922.1","0.079"
"Growth MARS 1","","Operational candidate","Direct growth","MARS","Adaptive spline MARS","MARS grid 1","degree=1; nprune=18","Yes",18,"4.663","0.005","3.723","0.163","0.940","4.662","0.257","0.128","0.929",3,0,"Stable temporal validation","4.681","3.772","0.102","0.932","0.220","","","","0.086"
"Growth linear benchmark","","Operational candidate","Direct growth","Linear model","Parametric linear","Baseline","linear terms","Yes",12,"4.677","0.001","3.730","0.158","0.939","4.665","0.311","0.128","0.929",3,0,"Stable temporal validation","4.683","3.728","0.101","0.932","0.176","0.169","8793.8","8873.3","0.089"
"Growth spline history model","","Operational candidate","Direct growth","Linear model","Natural spline regression","Spline df=4","natural splines for BOY, readiness, history, and section mix","Yes",34,"4.671","0.019","3.732","0.160","0.939","4.684","0.360","0.122","0.928",3,0,"Stable temporal validation","4.578","3.624","0.141","0.935","0.203","0.185","8785.9","8976.8","0.108"
"Growth cyclic interaction model","","Operational candidate","Direct growth","Linear model","Parametric cyclic","Cyclic interactions","track-specific sine/cosine terms","Yes",25,"4.662","0.017","3.722","0.163","0.940","4.717","0.390","0.110","0.927",3,0,"Stable temporal validation","4.617","3.677","0.126","0.934","0.197","0.183","8782.1","8930.6","0.141"
"Growth regression tree 1","","Operational candidate","Direct growth","Regression tree","Non-parametric tree","Tree grid 1","cp=0.01; minbucket=8; maxdepth=5","Yes",NA,"4.740","0.018","3.782","0.135","0.938","4.753","0.160","0.092","0.926",3,0,"Stable temporal validation","4.832","3.860","0.043","0.928","0.187","","","","0.177"
"Growth history-composition model","","Operational candidate","Direct growth","Linear model","Parametric history/composition","Multi-year student history + section mix","multi-year student history and BOY section composition","Yes",38,"4.685","0.003","3.725","0.155","0.939","4.928","0.239","0.023","0.921",3,0,"Stable temporal validation","4.616","3.673","0.127","0.934","0.206","0.185","8789.4","9001.5","0.352"
"Growth history interaction model","","Operational candidate","Direct growth","Linear model","Parametric history/composition","History/composition interactions","history and section composition interactions","Yes",48,"4.719","0.001","3.738","0.143","0.938","Unstable","Unstable","Unstable","Unstable",3,1,"Unstable temporal validation: 1 failed fold(s)","4.779","3.741","0.064","0.929","0.222","0.191","8796.2","9109.1","0.368"
"Naive prior-year mean growth","","Naive benchmark","Direct growth","Naive benchmark","Naive baseline","Training mean","training-year mean score gain","No",1,"5.101","0.002","4.098","-0.001","0.928","5.002","0.329","-0.002","0.918",3,0,"Stable temporal validation","4.960","4.026","-0.008","0.924","0.000","","","","0.426"
"Growth feature discovery model","","Operational candidate","Direct growth","Linear model","Feature-engineered parametric","Expanded transformations and interactions","thresholds, polynomial terms, multi-year history, and interaction search","Yes",56,"4.710","0.007","3.741","0.146","0.938","5.199","0.333","-0.093","0.912",3,0,"Stable temporal validation","4.693","3.747","0.097","0.932","0.220","0.189","8799.2","9106.8","0.623"
