"school_year","school_year_offset","sis_user_id","grade_level","course_id","course_name","course_track","section_id","section_label","teacher_id","teacher_label","attendance_category","attendance_probability","boy_score","eoy_score","boy_readiness","eoy_readiness","score_gain","readiness_gain","boy_score_z","boy_readiness_z","boy_below_45","boy_45_to_60","boy_above_60","annual_sin","annual_cos","section_year_id","expected_gain","expected_eoy","adjusted_growth_residual"
"2025-2026",0,"SYN-SIS-000017","9","MATH-ALG1","Algebra 1","regular","Y00-SEC-001","Algebra 1 - Synthetic Section 01-01","TCH-001","Teacher 01","high",0.9973,15.53,34.89,20.1029,33.175,19.36,13.0721,-1.62986775295335,-1.53234047822278,29.47,0,0,1,6.12323399573677e-17,"Y00-SEC-001 | 2025-2026",9.22380490721984,24.7538049072198,10.1361950927802
"2025-2026",0,"SYN-SIS-000035","9","MATH-ALG1","Algebra 1","regular","Y00-SEC-001","Algebra 1 - Synthetic Section 01-01","TCH-001","Teacher 01","high",0.9754,11.52,21.55,16.7152,21.4581,10.03,4.7429,-1.8280979926339,-1.71352169253388,33.48,0,0,1,6.12323399573677e-17,"Y00-SEC-001 | 2025-2026",9.6826502832849,21.2026502832849,0.347349716715103
"2025-2026",0,"SYN-SIS-000046","9","MATH-ALG1","Algebra 1","regular","Y00-SEC-001","Algebra 1 - Synthetic Section 01-01","TCH-001","Teacher 01","normal",0.9265,43.95,55.06,44.1129,53.382,11.11,9.26909999999999,-0.224954183945517,-0.24823593661362,1.05,0,0,1,6.12323399573677e-17,"Y00-SEC-001 | 2025-2026",6.56989993862184,50.5198999386218,4.54010006137816
"2025-2026",0,"SYN-SIS-000081","9","MATH-ALG1","Algebra 1","regular","Y00-SEC-001","Algebra 1 - Synthetic Section 01-01","TCH-001","Teacher 01","normal",0.9543,91.85,94.94,84.5802,92.4112,3.09,7.83099999999999,2.14293321772496,1.91603910364712,0,15,31.85,1,6.12323399573677e-17,"Y00-SEC-001 | 2025-2026",1.51490162304501,93.364901623045,1.57509837695499
"2025-2026",0,"SYN-SIS-000100","9","MATH-ALG1","Algebra 1","regular","Y00-SEC-001","Algebra 1 - Synthetic Section 01-01","TCH-001","Teacher 01","normal",0.8559,14.3,21.98,19.0638,22.1312,7.68,3.0674,-1.69067154218205,-1.58791369893024,30.7,0,0,1,6.12323399573677e-17,"Y00-SEC-001 | 2025-2026",9.79621142669956,24.0962114266996,-2.11621142669956
"2025-2026",0,"SYN-SIS-000113","9","MATH-ALG1","Algebra 1","regular","Y00-SEC-001","Algebra 1 - Synthetic Section 01-01","TCH-001","Teacher 01","high",0.9964,15.23,22.82,19.8495,22.9445,7.59,3.095,-1.64469794544815,-1.54589283519254,29.77,0,0,1,6.12323399573677e-17,"Y00-SEC-001 | 2025-2026",9.25678714541353,24.4867871454135,-1.66678714541353
"2025-2026",0,"SYN-SIS-000142","9","MATH-ALG1","Algebra 1","regular","Y00-SEC-001","Algebra 1 - Synthetic Section 01-01","TCH-001","Teacher 01","normal",0.8962,32.97,37.55,34.8367,37.3655,4.58,2.5288,-0.767739229255368,-0.744346330152767,12.03,0,0,1,6.12323399573677e-17,"Y00-SEC-001 | 2025-2026",7.77223986953688,40.7422398695369,-3.19223986953688
"2025-2026",0,"SYN-SIS-000172","9","MATH-ALG1","Algebra 1","regular","Y00-SEC-001","Algebra 1 - Synthetic Section 01-01","TCH-001","Teacher 01","high",0.9751,22.43,37.46,25.9322,36.115,15.03,10.1828,-1.28877332557284,-1.2205774376396,22.57,0,0,1,6.12323399573677e-17,"Y00-SEC-001 | 2025-2026",8.54337571709167,30.9733757170917,6.48662428290833
"2025-2026",0,"SYN-SIS-000225","9","MATH-ALG1","Algebra 1","regular","Y00-SEC-001","Algebra 1 - Synthetic Section 01-01","TCH-001","Teacher 01","normal",0.9671,43.02,53.35,43.3272,51.8337,10.33,8.5065,-0.270927780679412,-0.290256800351326,1.98,0,0,1,6.12323399573677e-17,"Y00-SEC-001 | 2025-2026",6.59308982596181,49.6130898259618,3.73691017403819
"2025-2026",0,"SYN-SIS-000279","9","MATH-ALG1","Algebra 1","regular","Y00-SEC-001","Algebra 1 - Synthetic Section 01-01","TCH-001","Teacher 01","normal",0.9184,21.15,31.99,24.8509,31.3512,10.84,6.5003,-1.35204881355067,-1.27840760177296,23.85,0,0,1,6.12323399573677e-17,"Y00-SEC-001 | 2025-2026",8.96668556614173,30.1166855661417,1.87331443385827
