"Priority","Target","Section","Teacher","Course","Year","N","Raw_gain","Expected_gain","Adjusted_signal"
"Intervention target","Y06-SEC-021 / MATH-AP-CALC-AB / TCH-005","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",12,"3.10","6.01","-1.55"
"Intervention target","Y06-SEC-019 / MATH-AP-CALC-AB / TCH-005","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",12,"2.41","5.28","-1.53"
"Intervention target","TCH-005","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",68,"3.81","5.05","-0.70"
"Positive anomaly","Y06-SEC-013 / MATH-AP-PRECALC / TCH-004","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",9,"7.18","4.47","1.25"
"Watch list","Y06-SEC-004 / MATH-GEOM / TCH-002","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",9,"4.01","6.45","-1.13"
"Watch list","Y06-SEC-023 / MATH-AP-CALC-BC / TCH-005","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",9,"1.89","3.87","-0.92"
"Watch list","Y06-SEC-016 / MATH-PRECALC / TCH-004","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",10,"4.11","5.92","-0.88"
"Watch list","MATH-AP-CALC-AB","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",49,"4.31","5.47","-0.72"
"Watch list","Y06-SEC-005 / MATH-GEOM / TCH-001","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",11,"4.00","5.28","-0.66"
"Watch list","MATH-PRECALC","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",40,"4.99","5.95","-0.55"
"Watch list","Y06-SEC-014 / MATH-PRECALC / TCH-003","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",10,"4.81","5.76","-0.46"
"Watch list","Y06-SEC-022 / MATH-AP-CALC-BC / TCH-005","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",10,"3.10","4.02","-0.45"
"Watch list","Y06-SEC-017 / MATH-PRECALC / TCH-003","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",9,"4.78","5.58","-0.37"
"Watch list","MATH-ALG2-H","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",26,"6.18","5.40","0.36"
"Watch list","Y06-SEC-003 / MATH-GEOM / TCH-001","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",9,"7.02","6.20","0.38"
"Watch list","Y06-SEC-018 / MATH-AP-CALC-AB / TCH-005","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",13,"6.69","5.57","0.62"
"Watch list","Y06-SEC-006 / MATH-ALG2 / TCH-002","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",11,"7.63","6.39","0.64"
"Watch list","Y06-SEC-010 / MATH-ALG2-H / TCH-003","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",12,"6.90","5.44","0.78"
"Watch list","MATH-AP-PRECALC","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",30,"6.11","4.55","0.78"
"Watch list","Y06-SEC-011 / MATH-AP-PRECALC / TCH-004","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",10,"5.67","3.98","0.83"
"Watch list","Y06-SEC-002 / MATH-GEOM / TCH-002","Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","2031-2032",10,"9.02","6.70","1.13"
