"section_id","teacher_id","course_id","Level","Target","N","Raw_gain","Expected_gain","Adjusted_gap","CI_95","P_value","Q_value","Decision"
"Y06-SEC-019","TCH-005","MATH-AP-CALC-AB","Section","Y06-SEC-019 | TCH-005 | MATH-AP-CALC-AB",12,"2.41","5.12","-2.71","-5.14 to 0.01","0.053","0.320","Watch"
"Y06-SEC-021","TCH-005","MATH-AP-CALC-AB","Section","Y06-SEC-021 | TCH-005 | MATH-AP-CALC-AB",12,"3.10","5.58","-2.48","-4.99 to -0.18","0.033","0.267","Watch"
"Y06-SEC-004","TCH-002","MATH-GEOM","Section","Y06-SEC-004 | TCH-002 | MATH-GEOM",9,"4.01","6.57","-2.55","-6.74 to 2.41","0.267","0.505","Watch"
"Y06-SEC-016","TCH-004","MATH-PRECALC","Section","Y06-SEC-016 | TCH-004 | MATH-PRECALC",10,"4.11","6.16","-2.04","-4.92 to 0.41","0.100","0.400","Watch"
"Y06-SEC-023","TCH-005","MATH-AP-CALC-BC","Section","Y06-SEC-023 | TCH-005 | MATH-AP-CALC-BC",9,"1.89","3.67","-1.78","-4.28 to 0.68","0.127","0.434","Watch"
"Y06-SEC-005","TCH-001","MATH-GEOM","Section","Y06-SEC-005 | TCH-001 | MATH-GEOM",11,"4.00","5.49","-1.49","-4.09 to 1.53","0.327","0.505","Watch"
"Y06-SEC-024","TCH-004","MATH-BEYOND-CORE","Section","Y06-SEC-024 | TCH-004 | MATH-BEYOND-CORE",3,"-0.11","3.28","-3.39","-6.46 to 0.94","0.067","0.320","Insufficient sample"
"Y06-SEC-017","TCH-003","MATH-PRECALC","Section","Y06-SEC-017 | TCH-003 | MATH-PRECALC",9,"4.78","6.35","-1.57","-5.06 to 1.99","0.380","0.505","Watch"
"Y06-SEC-022","TCH-005","MATH-AP-CALC-BC","Section","Y06-SEC-022 | TCH-005 | MATH-AP-CALC-BC",10,"3.10","4.56","-1.46","-3.54 to 0.91","0.173","0.505","Watch"
"Y06-SEC-014","TCH-003","MATH-PRECALC","Section","Y06-SEC-014 | TCH-003 | MATH-PRECALC",10,"4.81","6.18","-1.36","-4.33 to 1.47","0.393","0.505","Watch"
"Y06-SEC-007","TCH-002","MATH-ALG2","Section","Y06-SEC-007 | TCH-002 | MATH-ALG2",12,"5.79","6.91","-1.12","-3.17 to 1.12","0.327","0.505","Watch"
"Y06-SEC-008","TCH-002","MATH-ALG2","Section","Y06-SEC-008 | TCH-002 | MATH-ALG2",10,"6.33","7.12","-0.79","-3.93 to 1.96","0.653","0.713","Watch"
"Y06-SEC-015","TCH-003","MATH-PRECALC","Section","Y06-SEC-015 | TCH-003 | MATH-PRECALC",11,"6.13","6.76","-0.63","-2.77 to 1.16","0.493","0.592","In range"
"Y06-SEC-020","TCH-005","MATH-AP-CALC-AB","Section","Y06-SEC-020 | TCH-005 | MATH-AP-CALC-AB",12,"4.85","4.96","-0.12","-3.39 to 2.06","0.987","0.987","In range"
"Y06-SEC-009","TCH-003","MATH-ALG2-H","Section","Y06-SEC-009 | TCH-003 | MATH-ALG2-H",14,"5.57","5.50","0.07","-2.21 to 2.51","0.907","0.946","In range"
"Y06-SEC-003","TCH-001","MATH-GEOM","Section","Y06-SEC-003 | TCH-001 | MATH-GEOM",9,"7.02","6.34","0.68","-1.47 to 2.90","0.647","0.713","In range"
"Y06-SEC-001","TCH-001","MATH-ALG1","Section","Y06-SEC-001 | TCH-001 | MATH-ALG1",13,"7.13","6.45","0.68","-1.30 to 2.34","0.387","0.505","In range"
"Y06-SEC-012","TCH-004","MATH-AP-PRECALC","Section","Y06-SEC-012 | TCH-004 | MATH-AP-PRECALC",11,"5.64","4.58","1.06","-2.06 to 3.70","0.400","0.505","Watch"
"Y06-SEC-006","TCH-002","MATH-ALG2","Section","Y06-SEC-006 | TCH-002 | MATH-ALG2",11,"7.63","6.47","1.16","-0.94 to 3.03","0.280","0.505","Watch"
"Y06-SEC-010","TCH-003","MATH-ALG2-H","Section","Y06-SEC-010 | TCH-003 | MATH-ALG2-H",12,"6.90","5.69","1.21","-1.02 to 3.40","0.253","0.505","Watch"
"Y06-SEC-011","TCH-004","MATH-AP-PRECALC","Section","Y06-SEC-011 | TCH-004 | MATH-AP-PRECALC",10,"5.67","4.09","1.58","-1.05 to 4.29","0.280","0.505","Watch"
"Y06-SEC-018","TCH-005","MATH-AP-CALC-AB","Section","Y06-SEC-018 | TCH-005 | MATH-AP-CALC-AB",13,"6.69","5.08","1.61","-1.24 to 3.88","0.300","0.505","Watch"
"Y06-SEC-013","TCH-004","MATH-AP-PRECALC","Section","Y06-SEC-013 | TCH-004 | MATH-AP-PRECALC",9,"7.18","4.61","2.57","0.64 to 4.32","0.003","0.080","Bright spot"
"Y06-SEC-002","TCH-002","MATH-GEOM","Section","Y06-SEC-002 | TCH-002 | MATH-GEOM",10,"9.02","6.33","2.69","0.40 to 5.00","0.020","0.240","Watch"
