"Predictor","Scale","Odds_ratio","CI_95","P_value"
"Contract value, log scale","1-unit / level change","0.84","0.57 to 1.26","0.406"
"Tenure","12-unit change","0.86","0.76 to 0.96","0.007"
"Segment: Mid-Market vs SMB","1-unit / level change","0.90","0.51 to 1.57","0.701"
"Segment: Enterprise vs SMB","1-unit / level change","0.57","0.24 to 1.33","0.194"
"Segment: Strategic vs SMB","1-unit / level change","1.54","0.47 to 5.11","0.476"
"Implementation complexity: Medium vs Low","1-unit / level change","1.05","0.68 to 1.62","0.823"
"Implementation complexity: High vs Low","1-unit / level change","1.26","0.74 to 2.15","0.390"
"Product usage rate","0.1-unit change","0.89","0.75 to 1.06","0.200"
"Active-seat ratio","0.1-unit change","0.86","0.73 to 1.02","0.077"
"Training completion","0.1-unit change","0.85","0.73 to 0.99","0.036"
"Training completion missing","1-unit / level change","0.88","0.49 to 1.57","0.655"
"Support tickets, last 90 days","3-unit change","1.81","1.34 to 2.46","<0.001"
"Average response time","12-unit change","1.39","1.11 to 1.76","0.005"
"Prior incident","1-unit / level change","2.19","1.48 to 3.22","<0.001"
