"Section","Teacher","Course","Year","N","Raw_gain","Expected_gain","Adjusted_signal","Category"
"Y05-SEC-006","TCH-002","MATH-ALG2","2030-2031",9,"10.39","6.39","1.89","Above expected"
"Y05-SEC-019","TCH-005","MATH-AP-CALC-AB","2030-2031",12,"9.09","6.13","1.61","Above expected"
"Y02-SEC-017","TCH-005","MATH-AP-CALC-AB","2027-2028",11,"8.79","5.77","1.59","Within expected range"
"Y04-SEC-017","TCH-003","MATH-PRECALC","2029-2030",11,"8.77","5.92","1.50","Above expected"
"Y05-SEC-008","TCH-002","MATH-ALG2","2030-2031",11,"9.07","6.42","1.39","Within expected range"
"Y06-SEC-002","TCH-002","MATH-GEOM","2031-2032",10,"9.02","6.33","1.35","Within expected range"
"Y04-SEC-003","TCH-002","MATH-GEOM","2029-2030",12,"8.73","6.38","1.28","Above expected"
"Y01-SEC-006","TCH-002","MATH-ALG2","2026-2027",9,"9.85","7.18","1.26","Within expected range"
"Y05-SEC-009","TCH-002","MATH-ALG2","2030-2031",9,"2.33","6.65","-2.05","Below expected"
"Y05-SEC-002","TCH-002","MATH-GEOM","2030-2031",12,"2.22","5.48","-1.78","Within expected range"
"Y01-SEC-003","TCH-001","MATH-GEOM","2026-2027",9,"3.27","6.45","-1.50","Below expected"
"Y02-SEC-008","TCH-002","MATH-ALG2","2027-2028",13,"4.04","6.69","-1.50","Below expected"
"Y01-SEC-013","TCH-004","MATH-AP-PRECALC","2026-2027",10,"2.27","5.25","-1.49","Below expected"
"Y00-SEC-013","TCH-003","MATH-ALG2-H","2025-2026",11,"3.99","6.64","-1.39","Within expected range"
"Y06-SEC-019","TCH-005","MATH-AP-CALC-AB","2031-2032",12,"2.41","4.90","-1.36","Within expected range"
"Y05-SEC-001","TCH-001","MATH-ALG1","2030-2031",10,"3.28","5.96","-1.34","Below expected"
